family,genus,species,origin,extin,w,mtheta,lw,lh,ic1,ic2,ic3,fcirc,t,numcham,expans,height,length,fcangle,area,fcarea,clava,chamwl,keel,bidors,biven,biconvex,lobe,double,depth
Globigerinidae,Globigerina,atlantisae,0,-0.0000001,2.92603182,83.53666667,1.0327654,1.744993094,95.56,88.79,66.26,89.4493002,180,4,1.307625901,202.14,115.84,90,24573.95,0.355581012,1.354860632,0.969820901,0.934995616,90,90,1,0.856033313,0,3
Globigerinidae,Globigerina,egelida,0,-0.0000001,1.721892118,77.52,1.008611242,1.333046039,98.56,70.21,63.79,83.004044,180,4.5,1.111397995,139.23,185.6,90,25817.27,0.304509346,1.232272809,0.990107294,0.933135905,90,90,1,0.882191634,0,3
Globigerinidae,Globigerina,exumbilicata,0,-0.0000001,1.840160923,78.32333333,1.102609904,1.4917026,81.5,75.45,78.02,94.26340839,144.62,4.75,1.142864742,153.06,228.32,90,33013.88,0.36596062,1.335918392,0.980938129,0.928232704,90,90,1,0.858788385,0,3
Globorotaliidae,Globorotalia,neoflexuosa,0,-0.0000001,2.257477031,71.25,1.062883221,1.807506709,85.55,69.34,58.86,69.67616778,161.46,7,1.177739606,868.29,1569.44,75.28,1442660.65,0.352774599,1.109921521,1.054476443,1,28.57,21.5,1.328837209,0.934246027,0,0
Globorotaliidae,Neogloboquadrina,cryophila,0,-0.0000001,1.931948954,84.64333333,1.0792243,1.39884044,98.78,75.49,79.66,82.61345704,148.89,4,1.172704028,165.58,231.62,90,36098.78,0.360635179,1.261192942,1.115703973,0.92323349,90,90,1,0.846599983,0,2
Globorotaliidae,Neogloboquadrina,polusi,0,-0.0000001,2.045149701,72.23,1.100369886,0.986441148,61.96,67.11,87.62,96.65690008,124.79,5,1.152546533,360.65,355.76,90,105737.32,0.409391972,1.211566169,1.054011135,0.919289576,90,90,1,0.933736787,0,2
Globigerinidae,Globigerinella,adamsi,0.01,-0.0000001,1.968,61.159,1.078,2.009,43.543,61.699,78.235,80.3,166,6,1.122,477.212,1023.697,61.918,384162.81,0.255900747,2.358307002,0.435125006,1,90,90,1,0.502136742,0,2
Globigerinidae,Globigerinoides.Br,pyramidalis,0.01,-0.0000001,0.733299068,120.71,1,0.801933145,108.71,132.71,0,96.3072956,58.61,3,0.905785211,124.15,99.56,90,6923.04,0.233615579,1.203332622,1.40944993,0.950488117,90,90,1,0.946212508,0,3
Globorotaliidae,Neoacarinina,blowi,0.2,-0.0000001,0.91577363,120.49,1.143697151,1.331386618,118.69,122.29,0,95.32176346,146.15,3,0.971512689,359.58,478.74,90,128196.39,0.350744744,1.234349798,1.41440724,0.935085287,90,90,1,0.936858611,0,0
Globorotaliidae,Truncorotalia,crozetensis,0.2,-0.0000001,1.715369696,84.61,1.08371715,1.533348223,84.86,92.59,76.38,86.25552817,170.21,4.5,1.128845554,358.19,549.23,84.34,220199.91,0.369381713,1.104255827,1.234787541,0.994620115,18.3,35.72,0.512318029,0.885179307,0,0
